Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research,Research Project,Required Materials,Required Skills,Crafting Unlocked,Required Research
Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3,Old Earth Cuisine 4,Spice x 8 Nutrient x 16 Bread x 4 Poultry x 4 Beans x 4 Butter x 4 Noodles x 4,,Dal Makhani Doro Wat Pappardelle Bolognese,Old Earth Cuisine 3
Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4,Exotic Recipes 1,Aromatic x 3 Spice x 3 Fiber x 3 Nutrient x 3 Noodles x 2,Rank 4,Alien Kebab Alien Stir-Fry Crispy Alien Nuggets,Old Earth Cuisine 4
Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1,Exotic Recipes 2,Aromatic x 4 Spice x 4 Membrane x 4 Egg x 3 Red Meat x 3 Wine x 2,,Alien Stew Creature Jam Xenowurst,Exotic Recipes 1
Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2,Exotic Recipes 3,Quark-D. Tissues x 2 Aromatic x 4 Fiber x 8 Wine x 4 Butter x 4,,Alien Pie Star Cluster Marsala Stellar Kebabs,Exotic Recipes 2
Exotic Recipes 4,Quark-D. Tissues x 4 Spice x 12 Nutrient x 16 Egg x 8 Bread x 4 Noodles x 8 Beans x 4,,Galaxy Lo Mein Nebula Wat,Exotic Recipes 3,Exotic Recipes 4,Quark-D. Tissues x 4 Spice x 12 Nutrient x 16 Egg x 8 Bread x 4 Noodles x 8 Beans x 4,,Galaxy Lo Mein Nebula Wat,Exotic Recipes 3,Exotic Recipes 4,Quark-D. Tissues x 4 Spice x 12 Nutrient x 16 Egg x 8 Bread x 4 Noodles x 8 Beans x 4,,Galaxy Lo Mein Nebula Wat,Exotic Recipes 3,Exotic Recipes 4,Quark-D. Tissues x 4 Spice x 12 Nutrient x 16 Egg x 8 Bread x 4 Noodles x 8 Beans x 4,,Galaxy Lo Mein Nebula Wat,Exotic Recipes 3,Exotic Recipes 4,Quark-D. Tissues x 4 Spice x 12 Nutrient x 16 Egg x 8 Bread x 4 Noodles x 8 Beans x 4,,Galaxy Lo Mein Nebula Wat,Exotic Recipes 3
,,,,,,,,,,,,,,,,,,,,,,,,
Decoration 1,Fiber x 3 Ornamental x 2 Structural x 3,None,Additional Furnitureand Decorations,None,Decoration 1,Fiber x 3 Ornamental x 2 Structural x 3,None,Additional Furnitureand Decorations,None,Decoration 1,Fiber x 3 Ornamental x 2 Structural x 3,None,Additional Furnitureand Decorations,None,Decoration 1,Fiber x 3 Ornamental x 2 Structural x 3,None,Additional Furnitureand Decorations,None,Decoration 1,Fiber x 3 Ornamental x 2 Structural x 3,None,Additional Furnitureand Decorations,None
Decoration 2,Adhesive x 10 Aluminum x 10 Fiber x 10 Pigment x 10 Structural x 10,Rank 1,Additional FurnitureandDecorations,Decoration 1,Decoration 2,Adhesive x 10 Aluminum x 10 Fiber x 10 Pigment x 10 Structural x 10,Rank 1,Additional FurnitureandDecorations,Decoration 1,Decoration 2,Adhesive x 10 Aluminum x 10 Fiber x 10 Pigment x 10 Structural x 10,Rank 1,Additional FurnitureandDecorations,Decoration 1,Decoration 2,Adhesive x 10 Aluminum x 10 Fiber x 10 Pigment x 10 Structural x 10,Rank 1,Additional FurnitureandDecorations,Decoration 1,Decoration 2,Adhesive x 10 Aluminum x 10 Fiber x 10 Pigment x 10 Structural x 10,Rank 1,Additional FurnitureandDecorations,Decoration 1
Decoration 3,Structural x 12 Aluminum x 12 Fiber x 8 Nickel x 8 Adhesive x 12 Luxury Textile x 2,Outpost Engineering Rank 2 Zoology Rank 1,Additional Furniture and Decorations,Decoration 2,Decoration 3,Structural x 12 Aluminum x 12 Fiber x 8 Nickel x 8 Adhesive x 12 Luxury Textile x 2,Outpost Engineering Rank 2 Zoology Rank 1,Additional Furniture and Decorations,Decoration 2,Decoration 3,Structural x 12 Aluminum x 12 Fiber x 8 Nickel x 8 Adhesive x 12 Luxury Textile x 2,Outpost Engineering Rank 2 Zoology Rank 1,Additional Furniture and Decorations,Decoration 2,Decoration 3,Structural x 12 Aluminum x 12 Fiber x 8 Nickel x 8 Adhesive x 12 Luxury Textile x 2,Outpost Engineering Rank 2 Zoology Rank 1,Additional Furniture and Decorations,Decoration 2,Decoration 3,Structural x 12 Aluminum x 12 Fiber x 8 Nickel x 8 Adhesive x 12 Luxury Textile x 2,Outpost Engineering Rank 2 Zoology Rank 1,Additional Furniture and Decorations,Decoration 2
Domestication 1,Adaptive Frame x 10 Adhesive x 10 Aluminum x 30 Molecular Sieve x 5 Sealant x 10,Outpost Engineering Rank 1 Zoology Rank 1,Commercial Animal Husbandry,None,Domestication 1,Adaptive Frame x 10 Adhesive x 10 Aluminum x 30 Molecular Sieve x 5 Sealant x 10,Outpost Engineering Rank 1 Zoology Rank 1,Commercial Animal Husbandry,None,Domestication 1,Adaptive Frame x 10 Adhesive x 10 Aluminum x 30 Molecular Sieve x 5 Sealant x 10,Outpost Engineering Rank 1 Zoology Rank 1,Commercial Animal Husbandry,None,Domestication 1,Adaptive Frame x 10 Adhesive x 10 Aluminum x 30 Molecular Sieve x 5 Sealant x 10,Outpost Engineering Rank 1 Zoology Rank 1,Commercial Animal Husbandry,None,Domestication 1,Adaptive Frame x 10 Adhesive x 10 Aluminum x 30 Molecular Sieve x 5 Sealant x 10,Outpost Engineering Rank 1 Zoology Rank 1,Commercial Animal Husbandry,None
Domestication 2,Substrate Molecule Sieve x 3 Adaptive Frame x 8 Aluminum x 16 Sealant x 12 Adhesive x 12 Hypercatalyst x 4,,,Domestication 1,Domestication 2,Substrate Molecule Sieve x 3 Adaptive Frame x 8 Aluminum x 16 Sealant x 12 Adhesive x 12 Hypercatalyst x 4,,,Domestication 1,Domestication 2,Substrate Molecule Sieve x 3 Adaptive Frame x 8 Aluminum x 16 Sealant x 12 Adhesive x 12 Hypercatalyst x 4,,,Domestication 1,Domestication 2,Substrate Molecule Sieve x 3 Adaptive Frame x 8 Aluminum x 16 Sealant x 12 Adhesive x 12 Hypercatalyst x 4,,,Domestication 1,Domestication 2,Substrate Molecule Sieve x 3 Adaptive Frame x 8 Aluminum x 16 Sealant x 12 Adhesive x 12 Hypercatalyst x 4,,,Domestication 1
Horticulture 1,Adaptive Frame x 10 Mag Pressure Tank x 8 Metabolic Agent x 10 Nutrient x 10 Tungsten x 10,Outpost Engineering Rank 1 Botany Rank 1,Commercial Greenhouse,None,Horticulture 1,Adaptive Frame x 10 Mag Pressure Tank x 8 Metabolic Agent x 10 Nutrient x 10 Tungsten x 10,Outpost Engineering Rank 1 Botany Rank 1,Commercial Greenhouse,None,Horticulture 1,Adaptive Frame x 10 Mag Pressure Tank x 8 Metabolic Agent x 10 Nutrient x 10 Tungsten x 10,Outpost Engineering Rank 1 Botany Rank 1,Commercial Greenhouse,None,Horticulture 1,Adaptive Frame x 10 Mag Pressure Tank x 8 Metabolic Agent x 10 Nutrient x 10 Tungsten x 10,Outpost Engineering Rank 1 Botany Rank 1,Commercial Greenhouse,None,Horticulture 1,Adaptive Frame x 10 Mag Pressure Tank x 8 Metabolic Agent x 10 Nutrient x 10 Tungsten x 10,Outpost Engineering Rank 1 Botany Rank 1,Commercial Greenhouse,None
Horticulture 2,Mag Pressure Tank x 4 Adaptive Frame x 8 Tungsten x 8 Nutrient x 12 Metabolic Agent x 12 Amino Acids x 4,,,Horticulture 1,Horticulture 2,Mag Pressure Tank x 4 Adaptive Frame x 8 Tungsten x 8 Nutrient x 12 Metabolic Agent x 12 Amino Acids x 4,,,Horticulture 1,Horticulture 2,Mag Pressure Tank x 4 Adaptive Frame x 8 Tungsten x 8 Nutrient x 12 Metabolic Agent x 12 Amino Acids x 4,,,Horticulture 1,Horticulture 2,Mag Pressure Tank x 4 Adaptive Frame x 8 Tungsten x 8 Nutrient x 12 Metabolic Agent x 12 Amino Acids x 4,,,Horticulture 1,Horticulture 2,Mag Pressure Tank x 4 Adaptive Frame x 8 Tungsten x 8 Nutrient x 12 Metabolic Agent x 12 Amino Acids x 4,,,Horticulture 1
